author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
BE HOME,real_estate_agent,https://spb.cian.ru/rent/flat/318808312/,Санкт-Петербург,rent,flat,22,25,1,45.0,28000,0,Красносельский,Петергофское шоссе,17к1,Ленинский проспект
Аркада,real_estate_agent,https://spb.cian.ru/rent/flat/318812549/,Санкт-Петербург,rent,flat,18,23,1,31.3,22000,0,Красногвардейский,Полюстрово,8к4,Девяткино
ID 67745173,homeowner,https://spb.cian.ru/rent/flat/318734855/,Санкт-Петербург,rent,flat,4,12,1,34.0,30000,0,Приморский,проспект Орлово-Денисовский,19к1,Проспект Просвещения
Инженер,real_estate_agent,https://spb.cian.ru/rent/flat/318888877/,Санкт-Петербург,rent,flat,21,25,1,30.0,30000,0,Красногвардейский,Полюстрово,8к1,Гражданский проспект
ID 1144882,realtor,https://spb.cian.ru/rent/flat/317024321/,Санкт-Петербург,rent,flat,14,17,1,41.0,28000,0,Красносельский,проспект Героев,26к1,Ленинский проспект
ID 84060454,realtor,https://spb.cian.ru/rent/flat/318881615/,Санкт-Петербург,rent,flat,1,6,1,30.0,27000,0,Адмиралтейский,набережная Реки Пряжки,36,Нарвская
ID 104843042,homeowner,https://spb.cian.ru/rent/flat/289433783/,Санкт-Петербург,rent,flat,6,9,1,35.0,25000,0,Фрунзенский,Будапештская ,106К2,Дунайская
ID 91441154,homeowner,https://spb.cian.ru/rent/flat/318939793/,Санкт-Петербург,rent,flat,7,9,1,35.0,25000,0,Красносельский, Маршала Захарова,11,Ленинский проспект
Итака,real_estate_agent,https://spb.cian.ru/rent/flat/318771885/,Санкт-Петербург,rent,flat,7,10,1,39.0,30000,0,Приморский, Ильюшина,2,Комендантский проспект
Анна Макарова,realtor,https://spb.cian.ru/rent/flat/261740444/,Санкт-Петербург,rent,flat,1,5,1,34.0,29000,0,Московский, Ленсовета,60,Звездная
ЦЕХ НЕДВИЖИМОСТИ,real_estate_agent,https://spb.cian.ru/rent/flat/318548251/,Санкт-Петербург,rent,flat,14,16,1,32.0,18000,0,Красносельский, Маршала Казакова,44к1,Автово
ID 35156732,unknown,https://spb.cian.ru/rent/flat/318847507/,Санкт-Петербург,rent,flat,4,12,1,38.0,30000,0,Приморский,Торжковская ,1к2,Черная речка
Константин Мишуров,realtor,https://spb.cian.ru/rent/flat/318683438/,Санкт-Петербург,rent,flat,12,12,1,32.0,20000,0,Красносельский, Добровольцев,4,Ленинский проспект
Елена Хомутенкова,realtor,https://spb.cian.ru/rent/flat/318152448/,Санкт-Петербург,rent,flat,4,12,1,33.0,28000,0,Красносельский,проспект Ветеранов,169к6,Проспект Ветеранов
ID 75857893,realtor,https://spb.cian.ru/rent/flat/318844535/,Санкт-Петербург,rent,flat,12,18,1,36.0,30000,0,Калининский, Вавиловых,7к4,Академическая
Просто недвижимость,real_estate_agent,https://spb.cian.ru/rent/flat/318904744/,Санкт-Петербург,rent,flat,8,15,1,36.0,30000,0,Приморский, Верхне-Каменская,9к1,Комендантский проспект
ID 16185047,realtor,https://spb.cian.ru/rent/flat/318795948/,Санкт-Петербург,rent,flat,4,29,1,43.0,30000,0,Выборгский, Федора Абрамова,16к1,Парнас
Елена Огородник,realtor,https://spb.cian.ru/rent/flat/305447992/,Санкт-Петербург,rent,flat,11,17,1,40.0,30000,0,Приморский,Стародеревенская ,21к1,Комендантский проспект
Надежда Филиппова,realtor,https://spb.cian.ru/rent/flat/310380709/,Санкт-Петербург,rent,flat,2,8,1,33.0,27000,0,Пушкинский, Генерала Хазова,14,Купчино
Петербургская Недвижимость,real_estate_agent,https://spb.cian.ru/rent/flat/314577152/,Санкт-Петербург,rent,flat,9,17,1,36.0,30000,0,Выборгский,проезд Толубеевский,34к1,Парнас
Оксана Выскубова,realtor,https://spb.cian.ru/rent/flat/318721245/,Санкт-Петербург,rent,flat,3,3,1,42.5,30000,0,Приморский,Ивановская ,10,Беговая
АЛЕКСАНДР-НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/rent/flat/318827460/,Санкт-Петербург,rent,flat,4,10,1,40.0,30000,0,Кировский, Генерала Симоняка,4к5,Проспект Ветеранов
ID 12496056,realtor,https://spb.cian.ru/rent/flat/276419892/,Санкт-Петербург,rent,flat,1,7,1,41.0,22000,0,Красногвардейский,Окраинная ,9Б,Ладожская
Татьяна Бурдо,realtor,https://spb.cian.ru/rent/flat/318906957/,Санкт-Петербург,rent,flat,4,10,1,32.0,30000,0,Красногвардейский,Отечественная ,7,Ладожская
ID 49000543,homeowner,https://spb.cian.ru/rent/flat/226595370/,Санкт-Петербург,rent,flat,23,26,1,38.0,30000,0,Красносельский, Маршала Казакова,78к1,Автово
ID 76777325,homeowner,https://spb.cian.ru/rent/flat/318739048/,Санкт-Петербург,rent,flat,5,5,1,29.0,25000,0,Красносельский,Нарвская ,4к2,Проспект Ветеранов
